concept:bird:loons	bird : loons
concept:book:passing	book : passing
concept:grain:quinoa	grain : quinoa
concept:meat:chicken_fingers	meat : chicken fingers
concept:chemical:air_emissions	chemical : air emissions
concept:blog:business_week	blog : business week
concept:profession:entrepreneurs	profession : entrepreneurs
concept:televisionstation:ksnw	television station : ksnw
concept:geopoliticallocation:world	geopolitical location : world
concept:city:claremont	city : claremont
concept:stateorprovince:north_dakota	state or province : north dakota
concept:city:port_moresby	city : port moresby
concept:chemical:harmful_emissions	chemical : harmful emissions
concept:farm:northwest	farm : northwest
concept:visualizablething:coolant	visualizable thing : coolant
concept:bird:farm_animals	bird : farm animals
concept:geopoliticallocation:ball	geopolitical location : ball
concept:politicianus:stephen_goldsmith	politician us : stephen goldsmith
concept:disease:malformation	disease : malformation
concept:airport:memorial_field	airport : memorial field
concept:disease:leukaemia	disease : leukaemia
concept:sportsleague:bcs	sports league : bcs
concept:musicinstrument:chi	music instrument : chi
concept:magazine:atlantic_monthly	magazine : atlantic monthly
concept:city:montpelier	city : montpelier
concept:sociopolitical:independence	sociopolitical : independence
concept:sportsequipment:glove	sports equipment : glove
concept:televisionstation:wcet	television station : wcet
concept:date:n2_p_m__sunday	date : n2 p m  sunday
concept:city:mcallen	city : mcallen
concept:eventoutcome:new	event outcome : new
concept:disease:add	disease : add
concept:reptile:gravid_females	reptile : gravid females
concept:coach:george_karl	coach : george karl
concept:personmexico:mike_anderson	person mexico : mike anderson
concept:company:services	company : services
concept:island:steven	island : steven
concept:sportsteam:portland_trailblazers	sports team : portland trailblazers
concept:televisionstation:wect_tv	television station : wect tv
concept:beverage:egg	beverage : egg
concept:agriculturalproduct:grill	agricultural product : grill
concept:sportsteam:niu	sports team : niu
concept:plant:pears	plant : pears
concept:eventoutcome:state	event outcome : state
concept:reptile:alligators	reptile : alligators
concept:newspaper:lafayette	newspaper : lafayette
concept:artery:eye	artery : eye
concept:city:population	city : population
concept:nerve:damage	nerve : damage
concept:visualizablething:wellington	visualizable thing : wellington
concept:insect:ladybugs	insect : ladybugs
concept:fruit:sugar_beet	fruit : sugar beet
concept:personaustralia:paul_hewitt	person australia : paul hewitt
concept:continent:north_america	continent : north america
concept:date:n1864	date : n1864
concept:sportsteam:buckeyes	sports team : buckeyes
concept:sportsteam:new_york_mets	sports team : new york mets
concept:arachnid:butterflies	arachnid : butterflies
concept:city:grenoble	city : grenoble
concept:geometricshape:squares	geometric shape : squares
concept:city:ca	city : ca
concept:arachnid:mites	arachnid : mites
concept:sportsteam:demon_deacons	sports team : demon deacons
concept:country:mongolia	country : mongolia
concept:writer:brown	writer : brown
concept:museum:national_capital	museum : national capital
concept:televisionstation:wdse_tv	television station : wdse tv
concept:recordlabel:alligator	record label : alligator
concept:personmexico:alex_ferguson	person mexico : alex ferguson
concept:plant:maple_tree	plant : maple tree
concept:transportation:tomorrow	transportation : tomorrow
concept:landscapefeatures:islands	landscape features : islands
concept:tradeunion:agreement	trade union : agreement
concept:jobposition:facility	job position : facility
concept:condiment:mole	condiment : mole
concept:chemical:fertilizer	chemical : fertilizer
concept:artery:smoking	artery : smoking
concept:museum:cedarhurst	museum : cedarhurst
concept:victim:students_contact	victim : students contact
concept:county:national_taiwan_university	county : national taiwan university
concept:agriculturalproduct:salt	agricultural product : salt
concept:convention:games	convention : games
concept:reptile:giant_leatherback_turtles	reptile : giant leatherback turtles
concept:personmexico:jerry_colangelo	person mexico : jerry colangelo
concept:personaustralia:bobby_robson	person australia : bobby robson
concept:plant:red_pine	plant : red pine
concept:website:washington_times	website : washington times
concept:university:unc	university : unc
concept:nonneginteger:one	nonneginteger : one
concept:geometricshape:cases	geometric shape : cases
concept:profession:architects	profession : architects
concept:date:n1_p_m__wednesday	date : n1 p m  wednesday
concept:musicartist:chief	music artist : chief
concept:fish:billfish	fish : billfish
concept:criminal:web_sites	criminal : web sites
concept:date:n1962	date : n1962
concept:scientist:mikhail_gorbachev	scientist : mikhail gorbachev
concept:meat:pork_tenderloin	meat : pork tenderloin
concept:disease:fasd	disease : fasd
concept:stateorprovince:waipahu	state or province : waipahu
concept:company:cnn	company : cnn
concept:room:ownership	room : ownership
concept:university:emory	university : emory
concept:conference:ton	conference : ton
concept:food:baby_spinach	food : baby spinach
concept:sportsleague:terms	sports league : terms
concept:visualizablescene:ny	visualizable scene : ny
concept:personaustralia:jobs	person australia : jobs
concept:bodypart:heart_chambers	bodypart : heart chambers
concept:stadiumoreventvenue:floyd_casey_stadium	stadium or event venue : floyd casey stadium
concept:fruit:coconut	fruit : coconut
concept:stadiumoreventvenue:us_airways_center	stadium or event venue : us airways center
concept:politicsissue:oregon	politics issue : oregon
concept:sportsteam:ncaa_youth_kids	sports team : ncaa youth kids
concept:geopoliticallocation:agencies	geopolitical location : agencies
concept:city:morrow	city : morrow
concept:city:chapel_hill	city : chapel hill
concept:sportsgame:overview	sportsgame : overview
concept:chemical:salt	chemical : salt
concept:personaustralia:mark_teixeira	person australia : mark teixeira
concept:agriculturalproduct:chili_powder	agricultural product : chili powder
concept:geometricshape:circles	geometric shape : circles
concept:agriculturalproduct:pancakes	agricultural product : pancakes
concept:personus:johnny_damon	personus : johnny damon
concept:musicalbum:power	music album : power
concept:county:virginia_tech	county : virginia tech
concept:bakedgood:vinaigrette	baked good : vinaigrette
concept:male:bill_gates	male : bill gates
concept:stadiumoreventvenue:legion_field	stadium or event venue : legion field
concept:officebuildingroom:living_room	office building room : living room
concept:nongovorganization:legislature	nongov organization : legislature
concept:televisionstation:wetp_tv	television station : wetp tv
concept:reptile:small_birds	reptile : small birds
concept:sportsteam:columbia_university	sports team : columbia university
concept:televisionshow:teams	television show : teams
concept:personus:hussein_obama	personus : hussein obama
concept:agriculturalproduct:blue_cheese	agricultural product : blue cheese
concept:televisionstation:wjct	television station : wjct
concept:televisionstation:wnvt	television station : wnvt
concept:televisionstation:wnjn	television station : wnjn
concept:city:montenegro	city : montenegro
concept:lake:coastal_city	lake : coastal city
concept:bodypart:spinal_chord	bodypart : spinal chord
concept:hallwayitem:liquid	hallway item : liquid
concept:sportsteam:augustana_vikings	sports team : augustana vikings
concept:transportation:southeastern	transportation : southeastern
concept:crimeorcharge:murder	crime or charge : murder
concept:website:ten	website : ten
concept:awardtrophytournament:division	award trophy tournament : division
concept:stadiumoreventvenue:saint_andrews_hall	stadium or event venue : saint andrews hall
concept:city:irvington	city : irvington
concept:stateorprovince:pensacola	state or province : pensacola
concept:sportsteam:tampa	sports team : tampa
concept:country:uruguay	country : uruguay
concept:reptile:amphibians	reptile : amphibians
concept:river:north_canadian	river : north canadian
concept:televisionstation:wosu_tv	television station : wosu tv
concept:animal:native_animals	animal : native animals
concept:dateliteral:n2007	date literal : n2007
concept:plant:box_elder	plant : box elder
concept:sportsteam:brazil	sports team : brazil
concept:coach:gary_patterson	coach : gary patterson
concept:artery:central_nervous_system	artery : central nervous system
concept:planet:aurora	planet : aurora
concept:bird:black_widow	bird : black widow
concept:university:uf	university : uf
concept:automobilemaker:contacts	automobile maker : contacts
concept:university:uconn	university : uconn
concept:bird:golden_eagles	bird : golden eagles
concept:fish:green_sea_turtle	fish : green sea turtle
concept:journalist:jon_decker	journalist : jon decker
concept:artery:capillary	artery : capillary
concept:animal:nonhuman_primates	animal : nonhuman primates
concept:date:aug_	date : aug 
concept:televisionstation:kuid_tv	television station : kuid tv
concept:county:trabuco_canyon	county : trabuco canyon
concept:geopoliticallocation:sterling_heights	geopolitical location : sterling heights
concept:organization:the_country	organization : the country
concept:geopoliticallocation:ecuador	geopolitical location : ecuador
concept:sportsequipment:baseball_gloves	sports equipment : baseball gloves
concept:sportsteam:blackhawks	sports team : blackhawks
concept:stateorprovince:decision	state or province : decision
concept:room:coast	room : coast
concept:city:uk	city : uk
concept:bodypart:functions	bodypart : functions
concept:skiarea:snake_river	ski area : snake river
concept:island:outset	island : outset
concept:sportsgame:charges	sportsgame : charges
concept:bird:falcons	bird : falcons
concept:city:delivery	city : delivery
concept:website:associated_press	website : associated press
concept:insect:moth	insect : moth
concept:website:wsls_tv	website : wsls tv
concept:emotion:romance	emotion : romance
concept:female:lot	female : lot
concept:insect:sparrows	insect : sparrows
concept:stadiumoreventvenue:world_trade_center	stadium or event venue : world trade center
